2025-03-05 07:18:41 | INFO     | repomix.utils.git:clone_repository:81 | Cloning https://github.com/raycast/script-commands (master) to /var/folders/tm/8_gxklh48xlf8w006s6t6g980000gn/T/repomix_ix30f4ar | {}
2025-03-05 07:18:41 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:41 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:41 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:41 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:31 | Analyzing directory: mock_repo/dir1 | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:41 | Token count for mock_repo/dir1: 8 | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:37 | Existing Redis keys: [b'd39bf54bc6b2924212dcdf8794f6642230a2ff8dd68196a37005ee07f4e3596a', b'0790a50b19a5fead090f81dd4f22d63faafe819aadc236de5f888b2436cb3786', b'2cf410cd8a7bd8ebca38d8831b8244a25880917d88f5a3e300ea393b55dfcbf8', b'ee87da1279ef1cb75cb4b0ffb3b0f48ad4c95f0b91d39b94a170aa233f81b6df', b'2ee6346239148ebf983dbdd56b418078a6a5c5bf4882d8c7f8dcc280aeb3b74b', b'81a5ab4f31417e61088f78621585d6f75b6a3764bcfb3da40ba5291f7bcddf78', b'1493635f790f49ca05b6d837e74dea62bcf6f81b6b8d644bdae3a43b9adc9243', b'ef6693bbffc5eafc443eb4908ac173da5fafe623281101ebebe72b96ce59e896', b'68b9ebe791c160067b718c9aaeaadc8a4456b2909d89c665a3c51caee0e3da17', b'd28ad25ea1ca7af0dd9e1e9338a821464695acb6625acbea1d3e5aebfaefa484', b'5f140bfc25850733c4f3320409eaed71c19043ff9b77eed03ca8f3d0f5fb3a48', b'c1507482a97e7504247ea80dca236ab1c6a9e4c5cf5c4ff3f43c3b9a94042b68', b'e91b1bc51562a5e82f17338efce82e1da7831fece6341c96b16330a6621fefd5', b'16a17334dcd4e5910bb4853b922d65b3a11a348eb9b06778d3bf767a7cd5224a', b'a7657d3a49df84cfd92c20202c1a71c7919a7c78cad3850d4961c7c051aadfe6', b'2cb5768f22a801065629d0e2618b8deb21a18f29a69f0c12d46292c5f58eefbd', b'eddcb9b843bf0dd7c3bbcd0723150e0fbda079dd01a5a7e2d49d47019e64a775', b'4918d028c5bf6bf9924bd40b0e84eb359ea7bc69927cd12a71b2d7274353c2aa', b'd29c1e9f54e745e473739c31080c8c01ab0325a323f1abacddbf3aed18529338', b'43f1c1cabb7096b6702fcda26d3035f94fb994b6930844a69c65c1b390473ed2', b'65c148966d16aa2944441832786a491bbc105d7b70c120087dcc026824317f02', b'a29d915179f23e2761300d48f4fa0dcdc2064ae924b3eeb3e8f88410bc761ad0', b'fbddb62c25316d8c0e0d59002e53969a49535eed176392e35da9908553149763', b'eba7b8c3ef75a1f511fc48855c4fe7eeef9168965a8f00aca129f1cb57233d92', b'3440c870eba8737acdb6d9662c2e71d52ab58d15254963c97ed36abdf0f8d9f1', b'8b283ce2ec2a31cd9ccd500a6f4d262b103fd3f61a815764dc723e45b85d65ac', b'7b139130e3d1fd984f18372b9a0e6873ed07a4bfa72a0f48bb1188b13d647769', b'f88aa26934e8616f9f50ac2a28131f13feedd84854a77daa70aa5776b35a1d12'] | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:31 | Analyzing directory: mock_repo/dir1 | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:41 | Token count for mock_repo/dir1: 8 | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:31 | Analyzing directory: mock_repo/dir2 | {}
2025-03-05 07:18:42 | INFO     | repomix.utils.analyzer:analyze_directory:41 | Token count for mock_repo/dir2: 8 | {}
2025-03-05 07:18:42 | DEBUG    | tests.test_multi_directory:initialize_litellm_cache:26 | Starting LiteLLM cache initialization... | {}
